Seq,TaskID,Category,ImplementationStatus,Screen,Route,PageEntry,DependsOn,DetailFile,DetailFileExists,RequirementRef
19,CMP-SCR001-DESTINATION-GRID,COMPONENT,IMPLEMENT,SCR-001,/,,DATA-DESTINATIONS,TASK-CMP-SCR001-DESTINATION-GRID.md,True,REQ-FUNC-001;REQ-FUNC-002;REQ-FUNC-005;REQ-FUNC-009;REQ-FUNC-068;REQ-NF-006
20,CMP-SCR001-THEME-CHIPS,COMPONENT,IMPLEMENT,SCR-001,/,,DATA-DESTINATIONS,TASK-CMP-SCR001-THEME-CHIPS.md,True,
21,CMP-SCR001-SAFETY-CARDS,COMPONENT,IMPLEMENT,SCR-001,/,,DATA-SAFETY,TASK-CMP-SCR001-SAFETY-CARDS.md,True,REQ-FUNC-047;REQ-FUNC-048;REQ-FUNC-050
22,CMP-SCR001-DETAIL-DRAWERS,COMPONENT,IMPLEMENT,SCR-001,/,,DATA-DESTINATIONS;DATA-SAFETY,TASK-CMP-SCR001-DETAIL-DRAWERS.md,True,REQ-FUNC-004;REQ-FUNC-006;REQ-FUNC-009;REQ-FUNC-047;REQ-FUNC-049;REQ-FUNC-050;REQ-FUNC-051;REQ-FUNC-052;REQ-FUNC-053;REQ-FUNC-054;REQ-NF-028
23,CMP-SCR001-MATE-PREVIEW,COMPONENT,IMPLEMENT,SCR-001,/,,API-MATE-LIST,TASK-CMP-SCR001-MATE-PREVIEW.md,True,
24,CMP-SCR001-ABOUT-SUMMARY,COMPONENT,IMPLEMENT,SCR-001,/,,DATA-REPRESENTATIVE,TASK-CMP-SCR001-ABOUT-SUMMARY.md,True,REQ-FUNC-057
25,PAGE-SCR001,PAGE_OWNER,IMPLEMENT,SCR-001,/,app/src/app/page.tsx,GLOBAL-HEADER-FOOTER;GLOBAL-TOAST;CMP-SCR001-HERO-SEARCH;CMP-SCR001-DESTINATION-GRID;CMP-SCR001-THEME-CHIPS;CMP-SCR001-SAFETY-CARDS;CMP-SCR001-DETAIL-DRAWERS;CMP-SCR001-MATE-PREVIEW;CMP-SCR001-ABOUT-SUMMARY,TASK-PAGE-SCR001.md,True,REQ-FUNC-070;REQ-NF-030;REQ-FUNC-065;REQ-FUNC-064
26,CMP-SCR002-PROFILE-HERO,COMPONENT,IMPLEMENT,SCR-002,/about,,DATA-REPRESENTATIVE,TASK-CMP-SCR002-PROFILE-HERO.md,True,REQ-FUNC-062
27,CMP-SCR002-STATS,COMPONENT,IMPLEMENT,SCR-002,/about,,DATA-REPRESENTATIVE,TASK-CMP-SCR002-STATS.md,True,REQ-FUNC-057
28,CMP-SCR002-STORY,COMPONENT,IMPLEMENT,SCR-002,/about,,DATA-REPRESENTATIVE,TASK-CMP-SCR002-STORY.md,True,REQ-FUNC-058
29,CMP-SCR002-TIMELINE,COMPONENT,IMPLEMENT,SCR-002,/about,,DATA-REPRESENTATIVE,TASK-CMP-SCR002-TIMELINE.md,True,REQ-FUNC-060
30,CMP-SCR002-COUNTRIES,COMPONENT,IMPLEMENT,SCR-002,/about,,DATA-REPRESENTATIVE,TASK-CMP-SCR002-COUNTRIES.md,True,REQ-FUNC-059
31,CMP-SCR002-GALLERY,COMPONENT,IMPLEMENT,SCR-002,/about,,DATA-REPRESENTATIVE,TASK-CMP-SCR002-GALLERY.md,True,REQ-NF-006
32,CMP-SCR002-FEATURED,COMPONENT,IMPLEMENT,SCR-002;SCR-001,/about;/,,DATA-REPRESENTATIVE;DATA-DESTINATIONS,TASK-CMP-SCR002-FEATURED.md,True,REQ-FUNC-063
33,PAGE-SCR002,PAGE_OWNER,IMPLEMENT,SCR-002,/about,app/src/app/about/page.tsx,GLOBAL-HEADER-FOOTER;CMP-SCR002-PROFILE-HERO;CMP-SCR002-STATS;CMP-SCR002-STORY;CMP-SCR002-TIMELINE;CMP-SCR002-COUNTRIES;CMP-SCR002-GALLERY;CMP-SCR002-FEATURED,TASK-PAGE-SCR002.md,True,REQ-FUNC-070;REQ-NF-030
34,CMP-SCR003-SHELL,COMPONENT,IMPLEMENT,SCR-003,/travel-tools,,,TASK-CMP-SCR003-SHELL.md,True,
35,CMP-SCR003-FLIGHT-FORM,COMPONENT,IMPLEMENT,SCR-003,/travel-tools,,,TASK-CMP-SCR003-FLIGHT-FORM.md,True,REQ-FUNC-011;REQ-FUNC-012;REQ-FUNC-013;REQ-FUNC-014;REQ-FUNC-015;REQ-FUNC-016;REQ-FUNC-017;REQ-FUNC-018;REQ-NF-017
36,CMP-SCR003-HOTEL-FORM,COMPONENT,IMPLEMENT,SCR-003,/travel-tools,,,TASK-CMP-SCR003-HOTEL-FORM.md,True,REQ-FUNC-019;REQ-FUNC-020;REQ-FUNC-021;REQ-FUNC-022;REQ-FUNC-023;REQ-FUNC-024;REQ-FUNC-025;REQ-FUNC-026;REQ-NF-017
37,CMP-SCR003-MATE-TAB,COMPONENT,IMPLEMENT,SCR-003,/travel-tools,,API-AUTH;API-MATE-WRITE,TASK-CMP-SCR003-MATE-TAB.md,True,REQ-FUNC-027;REQ-FUNC-028;REQ-FUNC-031;REQ-FUNC-032;REQ-FUNC-080
38,PAGE-SCR003,PAGE_OWNER,IMPLEMENT,SCR-003,/travel-tools,app/src/app/travel-tools/page.tsx,GLOBAL-HEADER-FOOTER;GLOBAL-TOAST;CMP-SCR003-SHELL;CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM;CMP-SCR003-MATE-TAB,TASK-PAGE-SCR003.md,True,REQ-FUNC-054;REQ-FUNC-070;REQ-NF-030
39,CMP-SCR004-INTRO,COMPONENT,IMPLEMENT,SCR-004,/mates,,,TASK-CMP-SCR004-INTRO.md,True,
40,CMP-SCR004-FILTER,COMPONENT,IMPLEMENT,SCR-004,/mates,,API-MATE-LIST,TASK-CMP-SCR004-FILTER.md,True,REQ-FUNC-030
41,CMP-SCR004-LIST,COMPONENT,IMPLEMENT,SCR-004,/mates,,API-MATE-LIST,TASK-CMP-SCR004-LIST.md,True,REQ-FUNC-030;REQ-FUNC-037
42,CMP-SCR004-DETAIL-PANEL,COMPONENT,IMPLEMENT,SCR-004,/mates,,API-MATE-LIST,TASK-CMP-SCR004-DETAIL-PANEL.md,True,REQ-FUNC-033
43,CMP-SCR004-APPLY-FORM,COMPONENT,IMPLEMENT,SCR-004,/mates,,API-AUTH;API-MATE-APPLICATION,TASK-CMP-SCR004-APPLY-FORM.md,True,REQ-FUNC-034;REQ-FUNC-035
44,CMP-SCR004-REPORT-BLOCK,COMPONENT,IMPLEMENT,SCR-004,/mates,,API-AUTH;API-REPORT-BLOCK,TASK-CMP-SCR004-REPORT-BLOCK.md,True,REQ-FUNC-039;REQ-FUNC-040;REQ-NF-019
45,CMP-SCR004-GUIDANCE,COMPONENT,IMPLEMENT,SCR-004,/mates,,,TASK-CMP-SCR004-GUIDANCE.md,True,
46,PAGE-SCR004,PAGE_OWNER,IMPLEMENT,SCR-004,/mates,app/src/app/mates/page.tsx,GLOBAL-HEADER-FOOTER;GLOBAL-TOAST;CMP-SCR004-INTRO;CMP-SCR004-FILTER;CMP-SCR004-LIST;CMP-SCR004-DETAIL-PANEL;CMP-SCR004-APPLY-FORM;CMP-SCR004-REPORT-BLOCK;CMP-SCR004-GUIDANCE,TASK-PAGE-SCR004.md,True,REQ-FUNC-070;REQ-NF-030
47,CMP-SCR005-AUTH,COMPONENT,IMPLEMENT,SCR-005,/account,,API-AUTH,TASK-CMP-SCR005-AUTH.md,True,REQ-FUNC-066;REQ-FUNC-080
48,CMP-SCR005-PROFILE,COMPONENT,IMPLEMENT,SCR-005,/account,,API-AUTH;API-MY-ACTIVITY,TASK-CMP-SCR005-PROFILE.md,True,REQ-FUNC-028;REQ-FUNC-029
49,CMP-SCR005-MY-POSTS,COMPONENT,IMPLEMENT,SCR-005,/account,,API-MY-ACTIVITY;API-MATE-WRITE,TASK-CMP-SCR005-MY-POSTS.md,True,REQ-FUNC-038
50,CMP-SCR005-MY-REQUESTS-BLOCKS,COMPONENT,IMPLEMENT,SCR-005,/account,,API-MY-ACTIVITY;API-MATE-APPLICATION;API-REPORT-BLOCK,TASK-CMP-SCR005-MY-REQUESTS-BLOCKS.md,True,REQ-FUNC-036;REQ-FUNC-040
51,CMP-SCR005-ADMIN-REPORTS,COMPONENT,IMPLEMENT,SCR-005,/account,,API-ADMIN,TASK-CMP-SCR005-ADMIN-REPORTS.md,True,REQ-FUNC-041;REQ-FUNC-042
52,CMP-SCR005-ADMIN-OUTBOUND,COMPONENT,IMPLEMENT,SCR-005,/account,,API-ADMIN,TASK-CMP-SCR005-ADMIN-OUTBOUND.md,True,REQ-FUNC-077
53,PAGE-SCR005,PAGE_OWNER,IMPLEMENT,SCR-005,/account,app/src/app/account/page.tsx,GLOBAL-HEADER-FOOTER;GLOBAL-TOAST;CMP-SCR005-AUTH;CMP-SCR005-PROFILE;CMP-SCR005-MY-POSTS;CMP-SCR005-MY-REQUESTS-BLOCKS;CMP-SCR005-ADMIN-REPORTS;CMP-SCR005-ADMIN-OUTBOUND,TASK-PAGE-SCR005.md,True,REQ-FUNC-070;REQ-NF-030
54,UNIT-TRAVEL-DATES,UNIT_TEST,IMPLEMENT,SCR-003,/travel-tools,,CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM,TASK-UNIT-TRAVEL-DATES.md,True,REQ-FUNC-013;REQ-FUNC-021
55,UNIT-CONTACT-DETECTION,UNIT_TEST,IMPLEMENT,SCR-003,/travel-tools,,CMP-SCR003-MATE-TAB,TASK-UNIT-CONTACT-DETECTION.md,True,REQ-FUNC-032
56,UNIT-MATE-STATE,UNIT_TEST,IMPLEMENT,SCR-004;SCR-005,/mates;/account,,API-MATE-APPLICATION;API-MATE-LIST,TASK-UNIT-MATE-STATE.md,True,REQ-FUNC-035;REQ-FUNC-036;REQ-FUNC-037
57,TEST-RLS-BASIC,DB_TEST,IMPLEMENT,해당 없음,,,DB-RLS-BASE;DB-SEED-BASE,TASK-TEST-RLS-BASIC.md,True,REQ-FUNC-044;REQ-NF-013
58,E2E-PUBLIC-SMOKE,E2E_TEST,IMPLEMENT,SCR-001;SCR-002,/;/about,,PAGE-SCR001;PAGE-SCR002,TASK-E2E-PUBLIC-SMOKE.md,True,REQ-FUNC-001;REQ-FUNC-002;REQ-FUNC-003;REQ-FUNC-004;REQ-FUNC-005;REQ-FUNC-006;REQ-FUNC-047;REQ-FUNC-048;REQ-FUNC-049;REQ-FUNC-050;REQ-FUNC-051;REQ-FUNC-052;REQ-FUNC-053;REQ-FUNC-054;REQ-FUNC-057;REQ-FUNC-058;REQ-FUNC-059;REQ-FUNC-060;REQ-FUNC-062;REQ-FUNC-063;REQ-FUNC-064;REQ-FUNC-065;REQ-FUNC-068;REQ-FUNC-070;REQ-NF-030
59,E2E-TRAVEL-TOOLS,E2E_TEST,IMPLEMENT,SCR-003,/travel-tools,,PAGE-SCR003,TASK-E2E-TRAVEL-TOOLS.md,True,REQ-FUNC-011;REQ-FUNC-012;REQ-FUNC-013;REQ-FUNC-014;REQ-FUNC-015;REQ-FUNC-016;REQ-FUNC-017;REQ-FUNC-018;REQ-FUNC-019;REQ-FUNC-020;REQ-FUNC-021;REQ-FUNC-022;REQ-FUNC-023;REQ-FUNC-024;REQ-FUNC-025;REQ-FUNC-026;REQ-NF-017
60,E2E-MATE-AUTH,E2E_TEST,IMPLEMENT,SCR-003;SCR-004;SCR-005,/travel-tools;/mates;/account,,PAGE-SCR003;PAGE-SCR004;PAGE-SCR005,TASK-E2E-MATE-AUTH.md,True,REQ-FUNC-027;REQ-FUNC-028;REQ-FUNC-029;REQ-FUNC-030;REQ-FUNC-031;REQ-FUNC-032;REQ-FUNC-033;REQ-FUNC-034;REQ-FUNC-035;REQ-FUNC-036;REQ-FUNC-037;REQ-FUNC-038;REQ-FUNC-039;REQ-FUNC-040;REQ-FUNC-041;REQ-FUNC-042;REQ-FUNC-043;REQ-FUNC-066;REQ-FUNC-077;REQ-FUNC-080
61,MANUAL-A11Y-CHECK,MANUAL_CHECK,IMPLEMENT,전역,(all),,PAGE-SCR001;PAGE-SCR002;PAGE-SCR003;PAGE-SCR004;PAGE-SCR005,TASK-MANUAL-A11Y-CHECK.md,True,REQ-NF-023;REQ-NF-025;REQ-FUNC-079
62,CI-PIPELINE,CI_DEPLOY,IMPLEMENT,해당 없음,,,,TASK-CI-PIPELINE.md,True,REQ-NF-016;REQ-NF-031
63,RELEASE-VERCEL-SUPABASE,RELEASE_CHECK,IMPLEMENT,해당 없음,,,CI-PIPELINE;E2E-PUBLIC-SMOKE;E2E-TRAVEL-TOOLS;E2E-MATE-AUTH;TEST-RLS-BASIC,TASK-RELEASE-VERCEL-SUPABASE.md,True,REQ-NF-012;REQ-NF-034
